Date,Close,High,Low,Open,Volume
2025-12-29,314.3900146484375,314.9700012207031,311.8999938964844,312.82000732421875,12317700
2025-12-30,314.54998779296875,317.70001220703125,313.25,313.4100036621094,11052500
2025-12-31,313.79998779296875,315.3900146484375,312.20001220703125,313.3699951171875,10821500
2026-01-02,315.32000732421875,322.91400146484375,310.6499938964844,317.5899963378906,22043700
2026-01-05,317.32000732421875,319.25,315.2489929199219,317.69500732421875,19934000
2026-01-06,314.54998779296875,321.55999755859375,312.3399963378906,317.30999755859375,18989900
2026-01-07,322.42999267578125,326.4649963378906,314.5,314.57000732421875,24681800
2026-01-08,326.010009765625,330.5400085449219,321.989990234375,329.2650146484375,21789600
2026-01-09,329.1400146484375,331.4800109863281,326.25,327.489990234375,17917700
2026-01-12,332.7300109863281,334.44000244140625,325.510009765625,326.5,23893800
2026-01-13,336.42999267578125,341.20001220703125,334.3500061035156,335.2799987792969,24616700
2026-01-14,336.30999755859375,337.0299987792969,331.1400146484375,334.9849853515625,17839300
2026-01-15,333.1600036621094,338.1300048828125,331.2900085449219,338.05499267578125,16424900
2026-01-16,330.3399963378906,335.239990234375,328.1700134277344,334.93499755859375,21868600
2026-01-20,322.1600036621094,328.0899963378906,320.8900146484375,321.239990234375,27169900
2026-01-21,328.3800048828125,332.7250061035156,319.5400085449219,321.0950012207031,22791700
2026-01-22,330.8399963378906,335.2099914550781,328.8800048828125,334.2650146484375,19902100
2026-01-23,328.42999267578125,334.0299987792969,327.9700012207031,332.6549987792969,19110600
2026-01-26,333.5899963378906,336.3500061035156,327.489990234375,328.20001220703125,18461900
